image_path,ph,N,P,K,rainfall,temp,lat,lon,crop_label
eurosat/2750/AnnualCrop/AnnualCrop_1.jpg,7.2,80,21,35,1032,27.4,27.21,76.06,Maize
eurosat/2750/AnnualCrop/AnnualCrop_10.jpg,7.0,52,45,23,957,20.6,17.99,70.69,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_100.jpg,6.1,80,27,31,1162,20.8,12.4,93.35,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1000.jpg,5.5,117,26,37,1149,21.3,32.33,77.29,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1001.jpg,6.4,76,47,42,1763,34.0,20.52,73.66,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1002.jpg,6.6,42,46,49,2796,27.7,31.6,89.01,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1003.jpg,6.1,99,44,11,425,23.2,17.63,88.56,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1004.jpg,7.4,125,47,46,760,26.3,33.52,75.9,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1005.jpg,5.7,133,48,18,986,24.4,16.9,89.85,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1006.jpg,6.5,73,42,21,906,23.1,24.82,68.29,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1007.jpg,6.9,61,29,38,994,16.9,15.73,87.67,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1008.jpg,5.7,105,19,36,928,20.5,13.17,89.75,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1009.jpg,6.7,68,44,12,2072,26.8,22.84,87.55,Rice
eurosat/2750/AnnualCrop/AnnualCrop_101.jpg,6.4,97,34,43,1076,26.2,21.95,80.86,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1010.jpg,7.4,88,33,24,490,20.0,29.16,88.31,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1011.jpg,6.9,75,34,14,904,20.8,35.33,75.35,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1012.jpg,6.9,88,23,22,413,21.3,26.6,72.08,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1013.jpg,7.1,56,13,38,888,19.7,8.58,69.3,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1014.jpg,6.4,85,21,15,448,22.1,19.2,82.85,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1015.jpg,7.5,91,29,14,738,24.0,25.08,84.92,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1016.jpg,6.9,90,20,38,851,15.1,30.45,71.03,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1017.jpg,6.7,111,43,46,758,25.3,32.88,75.52,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1018.jpg,6.6,143,10,17,903,25.2,8.76,86.52,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1019.jpg,7.4,52,34,13,994,19.8,21.3,80.95,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_102.jpg,6.6,90,16,33,423,23.7,21.63,73.18,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1020.jpg,6.3,89,32,24,687,26.2,25.7,72.58,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1021.jpg,6.6,95,17,38,790,24.4,13.41,92.23,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1022.jpg,6.4,97,46,36,782,20.7,17.51,80.96,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1023.jpg,6.6,65,45,41,2099,25.2,12.15,69.69,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1024.jpg,5.7,111,23,49,625,20.7,23.19,71.46,Maize
